fips,name,category,metro
17069,"Hardin County, Illinois",none,Nonmetro
17071,"Henderson County, Illinois",none,Nonmetro
17073,"Henry County, Illinois",none,Metro
17075,"Iroquois County, Illinois",none,Nonmetro
17077,"Jackson County, Illinois",both,Metro
17079,"Jasper County, Illinois",none,Nonmetro
17081,"Jefferson County, Illinois",none,Nonmetro
17083,"Jersey County, Illinois",none,Metro
17085,"Jo Daviess County, Illinois",none,Nonmetro
17087,"Johnson County, Illinois",none,Nonmetro
17089,"Kane County, Illinois",none,Metro
17091,"Kankakee County, Illinois",none,Metro
17093,"Kendall County, Illinois",none,Metro
17095,"Knox County, Illinois",none,Nonmetro
17097,"Lake County, Illinois",none,Metro
17099,"LaSalle County, Illinois",none,Nonmetro
17101,"Lawrence County, Illinois",none,Nonmetro
17103,"Lee County, Illinois",none,Nonmetro
17105,"Livingston County, Illinois",none,Nonmetro
17107,"Logan County, Illinois",none,Nonmetro
17109,"McDonough County, Illinois",high,Nonmetro
17111,"McHenry County, Illinois",none,Metro
17113,"McLean County, Illinois",none,Metro
17115,"Macon County, Illinois",none,Metro
