TypeofBreach,BreachLocation,Covered Entity Type,Location of Breached Information,Type of Breach,TypeofBreach (group),Individuals Affected,Status,State,Name of Covered Entity,Covered Entity Type (copy),Business Associate Present,Breach Submission Date
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,9020,Under Investigation,KY,"Associates in Dermatology, PLLC",Healthcare Provider,No,7/16/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,2696,Under Investigation,MD,Rockville Eye Surgery Center LLC dba Palisades Eye Surgery Center,Healthcare Provider,No,7/17/2019
Hacking/IT Incident,Network Server,Healthcare Provider,"Desktop Computer, Network Server",Hacking/IT Incident,Hacking/IT Incident,116262,Under Investigation,LA,"Imperial Health, LLP",Healthcare Provider,No,7/18/2019
Hacking/IT Incident,Email,Business Associate,Email,Hacking/IT Incident,Hacking/IT Incident,102000,Under Investigation,NJ,RCCA MSO LLC,Business Associate,Yes,7/23/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,536,Under Investigation,OH,Wayne County Board of Developmental Disabilities,Healthcare Provider,No,7/25/2019
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,743,Under Investigation,NY,"Susan Marshall, M.D.,PC",Healthcare Provider,No,7/25/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,3812,Under Investigation,TN,Perry County Medical Center Inc. d/b/a Three Rivers Community Health Group,Healthcare Provider,No,7/26/2019
Hacking/IT Incident,,Healthcare Provider,Other,Hacking/IT Incident,Hacking/IT Incident,111555,Under Investigation,OH,"CompuNet Clinical Laboratories, LLC",Healthcare Provider,Yes,7/26/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,183370,Under Investigation,NM,Presbyterian Healthcare Services,Healthcare Provider,No,8/2/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,14402,Under Investigation,MO,University of Missouri Health Care,Healthcare Provider,No,8/2/2019
Hacking/IT Incident,,Healthcare Provider,Other,Hacking/IT Incident,Hacking/IT Incident,114985,Under Investigation,WI,Wisconsin Diagnostic Laboratories,Healthcare Provider,Yes,8/2/2019
Hacking/IT Incident,Desktop Computer,Healthcare Provider,Desktop Computer,Hacking/IT Incident,Hacking/IT Incident,634,Under Investigation,VA,"One Care Medical, LLC",Healthcare Provider,No,8/6/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,4340,Under Investigation,PA,Drexel Medicine,Healthcare Provider,No,8/7/2019
Unauthorized Access,Paper/Films,Healthcare Provider,"Electronic Medical Record, Other, Paper/Films",Unauthorized Access/Disclosure,Other,500,Under Investigation,TX,"Michael Amaro, MD, PA",Healthcare Provider,No,8/8/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,844,Under Investigation,NJ,Enlightened Solutions LLC,Healthcare Provider,No,8/9/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,773,Under Investigation,KS,Cancer Center of Kansas,Healthcare Provider,No,8/9/2019
Hacking/IT Incident,EMR,Healthcare Provider,"Electronic Medical Record, Network Server",Hacking/IT Incident,Hacking/IT Incident,15113,Under Investigation,AR,"Timothee T. Wilkin, D.O.",Healthcare Provider,No,8/9/2019
Hacking/IT Incident,Email,Business Associate,Email,Hacking/IT Incident,Hacking/IT Incident,10710,Under Investigation,OR,Mid-Valley Behavioral Care Network,Business Associate,Yes,8/9/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,750,Under Investigation,MA,"Harbor Health Services, Inc.",Healthcare Provider,No,8/9/2019
Unauthorized Access,EMR,Healthcare Provider,Electronic Medical Record,Unauthorized Access/Disclosure,Other,1000,Under Investigation,TX,"Primary Medicine of Sherman, PA/Robert J. Hernandez MD",Healthcare Provider,No,8/11/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,1938,Under Investigation,MN,Bayview Dental,Healthcare Provider,No,8/13/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,2943,Under Investigation,RI,"RHODE ISLAND EAR,NOSE AND THROAT PHYSICIANS INC.",Healthcare Provider,No,8/16/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,5030,Under Investigation,IA,Virginia Gay Hospital,Healthcare Provider,No,8/16/2019
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,7358,Under Investigation,TX,Wilson County Memorial Hospital District dba Connally Memorial Medical Center,Healthcare Provider,Yes,8/19/2019
Unauthorized Access,Paper/Films,Business Associate,Paper/Films,Unauthorized Access/Disclosure,Other,684,Under Investigation,OR,Regence BlueShield Washington,Business Associate,Yes,8/21/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,1357,Under Investigation,GA,"Navicent Health, Inc.",Healthcare Provider,No,8/23/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,37000,Under Investigation,AR,Conway Regional Health System,Healthcare Provider,No,8/23/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,550,Under Investigation,OK,Choctaw Nation Health Services Authority,Healthcare Provider,No,8/23/2019
Unauthorized Access,EMR,Healthcare Provider,Electronic Medical Record,Unauthorized Access/Disclosure,Other,2168,Under Investigation,GA,The Cardiovascular Group,Healthcare Provider,No,8/23/2019
Hacking/IT Incident,Email,Business Associate,Email,Hacking/IT Incident,Hacking/IT Incident,1982,Under Investigation,PA,Lyons Companies,Business Associate,Yes,8/23/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,13905,Under Investigation,NM,Artesia General Hospital,Healthcare Provider,No,8/27/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,2158,Under Investigation,NY,"Fedcap Rehabilitation Services, Inc.",Healthcare Provider,No,8/29/2019
Theft,Other Portable E-Device,Healthcare Provider,"Laptop, Other Portable Electronic Device",Theft,Other,2000,Under Investigation,GA,Simmons Family Chiropractic,Healthcare Provider,No,9/6/2019
Unauthorized Access,Paper/Films,Healthcare Provider,Paper/Films,Unauthorized Access/Disclosure,Other,533,Under Investigation,TN,Alive Hospice,Healthcare Provider,No,9/6/2019
Hacking/IT Incident,Network Server,Healthcare Provider,"Desktop Computer, Network Server",Hacking/IT Incident,Hacking/IT Incident,9700,Under Investigation,NJ,Shore Specialty Consultants Pulmonology Group,Healthcare Provider,No,9/6/2019
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,2770,Under Investigation,SC,Prisma - Midlands,Healthcare Provider,No,9/6/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,320000,Under Investigation,UT,Premier Family Medical,Healthcare Provider,No,9/7/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,1751,Under Investigation,TX,Berry Family Services,Healthcare Provider,No,9/8/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,3537,Under Investigation,OH,Lindner Center of Hope,Healthcare Provider,No,9/9/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,1500,Under Investigation,MI,Cristo Rey Community Center - Family Health Center,Healthcare Provider,No,9/10/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,927,Under Investigation,IA,June E. Nylen Cancer Center,Healthcare Provider,No,9/11/2019
Hacking/IT Incident,Email,Health Plan,Email,Hacking/IT Incident,Hacking/IT Incident,1498,Under Investigation,AZ,Pima County,Health Plan,Yes,9/12/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,391472,Under Investigation,AL,Sarrell Dental,Healthcare Provider,No,9/12/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,27000,Under Investigation,WA,Peoples Injury Network Northwest,Healthcare Provider,No,9/12/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,40000,Under Investigation,AR,Kilgore Vision Center,Healthcare Provider,No,9/13/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,22000,Under Investigation,ME,Sweetser,Healthcare Provider,No,9/13/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,439753,Under Investigation,,Intramural Practice Plan - Medical Sciences Campus - University of Puerto Rico,Healthcare Provider,No,9/16/2019
Hacking/IT Incident,Email,Business Associate,Email,Hacking/IT Incident,Hacking/IT Incident,589,Under Investigation,MD,National Imaging Associates,Business Associate,Yes,9/17/2019
Hacking/IT Incident,Email,Business Associate,Email,Hacking/IT Incident,Hacking/IT Incident,55637,Under Investigation,MD,Magellan Healthcare,Business Associate,Yes,9/17/2019
Unauthorized Access,Network Server,Business Associate,Network Server,Unauthorized Access/Disclosure,Other,6489,Under Investigation,SC,"Medico of South Carolina, Inc.",Business Associate,Yes,9/17/2019
Unauthorized Access,Email,Healthcare Provider,Email,Unauthorized Access/Disclosure,Other,6300,Under Investigation,AR,"Little Rock Plastic Surgery, P.A.",Healthcare Provider,No,9/18/2019
Unauthorized Access,Desktop Computer,Healthcare Provider,Desktop Computer,Unauthorized Access/Disclosure,Other,525,Under Investigation,WA,Chirobody,Healthcare Provider,No,9/19/2019
Loss,Other Portable E-Device,Healthcare Provider,Other Portable Electronic Device,Loss,Other,15000,Under Investigation,CO,"Perfect Teeth Yale, P.C.",Healthcare Provider,No,9/19/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,528188,Under Investigation,FL,"Women's Care Florida, LLC",Healthcare Provider,No,9/25/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,990,Under Investigation,CA,Kaiser Permanente,Healthcare Provider,No,9/26/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,3290,Under Investigation,GA,Cancer Treatment Centers of America (CTCA) at Southeastern Regional Medical Center,Healthcare Provider,No,9/27/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,514,Under Investigation,AZ,Beatitudes Campus,Healthcare Provider,No,9/27/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,500,Under Investigation,OK,Choctaw Nation Health Service Authority,Healthcare Provider,No,9/27/2019
Hacking/IT Incident,EMR,Healthcare Provider,"Desktop Computer, Electronic Medical Record, Network Server",Hacking/IT Incident,Hacking/IT Incident,48000,Under Investigation,NE,CHI Health Orthopedics Clinic -Lakeside,Healthcare Provider,No,9/30/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,823,Under Investigation,CA,Telecare Corporation,Healthcare Provider,No,9/30/2019
Unauthorized Access,Email,Health Plan,Email,Unauthorized Access/Disclosure,Other,756,Under Investigation,KY,Humana Inc,Health Plan,No,10/2/2019
Hacking/IT Incident,Email,Healthcare Provider,"Desktop Computer, Electronic Medical Record, Email, Network Server",Hacking/IT Incident,Hacking/IT Incident,11100,Under Investigation,LA,Magnolia Pediatrics,Healthcare Provider,No,10/9/2019
Hacking/IT Incident,Email,Business Associate,Email,Hacking/IT Incident,Hacking/IT Incident,15975,Under Investigation,CA,Central Valley Regional Center,Business Associate,Yes,10/11/2019
Improper Disposal,EMR,Healthcare Provider,"Electronic Medical Record, Network Server",Improper Disposal,Other,11754,Under Investigation,NM,Southern New Mexico Neurosurgery LLC,Healthcare Provider,No,10/14/2019
Hacking/IT Incident,Email,Business Associate,Email,Hacking/IT Incident,Hacking/IT Incident,1500,Under Investigation,FL,"Hamlin & Burton Liability Management, Inc.",Business Associate,Yes,10/14/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,7000,Under Investigation,LA,LaBorde Therapy Center LLC,Healthcare Provider,No,10/16/2019
Loss,Other Portable E-Device,Healthcare Provider,Other Portable Electronic Device,Loss,Other,4211,Under Investigation,AR,Walmart Inc.,Healthcare Provider,No,10/17/2019
Hacking/IT Incident,Desktop Computer,Healthcare Provider,Desktop Computer,Hacking/IT Incident,Hacking/IT Incident,858,Under Investigation,NM,Artesia General Hospital,Healthcare Provider,No,10/17/2019
Unauthorized Access,Email,Healthcare Provider,Email,Unauthorized Access/Disclosure,Other,1655,Under Investigation,GA,"Buckhead Smile Center, P.C.",Healthcare Provider,No,10/17/2019
Unauthorized Access,EMR,Healthcare Provider,Electronic Medical Record,Unauthorized Access/Disclosure,Other,584,Under Investigation,NY,Roswell Park Comprehensive Cancer Center,Healthcare Provider,No,10/18/2019
Unauthorized Access,Email,Healthcare Provider,Email,Unauthorized Access/Disclosure,Other,674,Under Investigation,FL,"United States Medical Supply, LLC.",Healthcare Provider,No,10/18/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,2661,Under Investigation,SC,Self Regional Healthcare,Healthcare Provider,No,10/21/2019
Unauthorized Access,,Healthcare Provider,Other,Unauthorized Access/Disclosure,Other,2993,Under Investigation,TX,Texas Health Presbyterian Hospital Allen,Healthcare Provider,No,10/22/2019
Unauthorized Access,,Healthcare Provider,Other,Unauthorized Access/Disclosure,Other,14881,Under Investigation,TX,Texas Health Harris Methodist Hospital Fort Worth,Healthcare Provider,No,10/22/2019
Unauthorized Access,,Healthcare Provider,Other,Unauthorized Access/Disclosure,Other,2157,Under Investigation,TX, Texas Health Harris Methodist Hospital Kaufman,Healthcare Provider,No,10/22/2019
Unauthorized Access,,Healthcare Provider,Other,Unauthorized Access/Disclosure,Other,9678,Under Investigation,TX,Texas Health Presbyterian Hospital Plano,Healthcare Provider,No,10/22/2019
Unauthorized Access,,Healthcare Provider,Other,Unauthorized Access/Disclosure,Other,6187,Under Investigation,TX,Texas Health Arlington Memorial,Healthcare Provider,No,10/22/2019
Unauthorized Access,,Healthcare Provider,Other,Unauthorized Access/Disclosure,Other,525,Under Investigation,TX,Texas Health Harris Methodist Southlake,Healthcare Provider,No,10/22/2019
Unauthorized Access,,Healthcare Provider,Other,Unauthorized Access/Disclosure,Other,1348,Under Investigation,TX,Texas Health Harris Methodist Hospital Stephenville,Healthcare Provider,No,10/22/2019
Unauthorized Access,,Healthcare Provider,Other,Unauthorized Access/Disclosure,Other,4789,Under Investigation,TX,Texas Health Presbyterian Hospital Rockwall,Healthcare Provider,No,10/22/2019
Unauthorized Access,,Healthcare Provider,Other,Unauthorized Access/Disclosure,Other,7478,Under Investigation,TX,Texas Health Harris Methodist Hospital Southwest Fort Worth,Healthcare Provider,No,10/22/2019
Unauthorized Access,,Healthcare Provider,Other,Unauthorized Access/Disclosure,Other,2737,Under Investigation,TX,Texas Health Harris Methodist Hospital Cleburne,Healthcare Provider,No,10/22/2019
Unauthorized Access,,Healthcare Provider,Other,Unauthorized Access/Disclosure,Other,2113,Under Investigation,TX,Texas Health Harris Methodist Hospital Azle,Healthcare Provider,No,10/22/2019
Unauthorized Access,,Healthcare Provider,Other,Unauthorized Access/Disclosure,Other,6688,Under Investigation,TX,Texas Health Presbyterian Hospital Denton,Healthcare Provider,No,10/22/2019
Unauthorized Access,,Healthcare Provider,Other,Unauthorized Access/Disclosure,Other,3784,Under Investigation,TX,Texas Health Harris Methodist Hospital Alliance,Healthcare Provider,No,10/22/2019
Unauthorized Access,,Healthcare Provider,Other,Unauthorized Access/Disclosure,Other,12415,Under Investigation,TX,Texas Health Presbyterian Hospital Dallas,Healthcare Provider,No,10/22/2019
Unauthorized Access,,Healthcare Provider,Other,Unauthorized Access/Disclosure,Other,4804,Under Investigation,TX,Texas Health Harris Methodist Hospital Hurst-Euless-Bedford,Healthcare Provider,No,10/22/2019
